rank,distance,filename
1,0.0,10_10_s.bmp
2,14.781338084626775,20_16_s.bmp
3,14.83967677250146,19_22_s.bmp
4,14.89205456997092,16_21_s.bmp
5,14.92559094424281,17_21_s.bmp
6,14.986738723782041,3_18_s.bmp
7,14.993934694907008,19_25_s.bmp
8,15.02752184057935,10_27_s.bmp
9,15.147990779744811,14_6_s.bmp
10,15.18373923385099,19_21_s.bmp
11,15.2888449601163,8_29_s.bmp
12,15.340081877470771,12_34_s.bmp
13,15.373980752456223,16_11_s.bmp
14,15.375422769897408,2_24_s.bmp
15,15.409304995492263,16_13_s.bmp
