rank,distance,filename
1,7.0787014345172015,10_9_s.bmp
2,8.333422041118501,10_30_s.bmp
3,8.695289438798353,10_21_s.bmp
4,8.701448708041012,10_7_s.bmp
5,9.013177906174942,10_20_s.bmp
6,9.150879761167083,10_19_s.bmp
7,9.545508351690318,10_32_s.bmp
8,9.657563176692284,10_8_s.bmp
9,9.744612579411722,10_13_s.bmp
10,9.764118132677842,10_25_s.bmp
11,9.7755048986719,10_28_s.bmp
12,9.822978173221887,10_29_s.bmp
13,9.882462380491619,6_3_s.bmp
14,9.890129566232442,10_27_s.bmp
15,9.9229632951786,6_27_s.bmp
