rank,distance,filename
1,0.0,10_10_s.bmp
2,1.985522453519065,9_13_s.bmp
3,2.1480520974568824,1_8_s.bmp
4,2.189949662577834,9_12_s.bmp
5,2.342879970961167,9_5_s.bmp
6,2.3517497202998534,9_7_s.bmp
7,2.358747150960478,11_9_s.bmp
8,2.404317398306032,10_11_s.bmp
9,2.469484734738404,1_28_s.bmp
10,2.5320323847507757,10_14_s.bmp
11,2.5511228109981223,12_26_s.bmp
12,2.606551266182791,10_9_s.bmp
13,2.6140989368360987,10_6_s.bmp
14,2.645706914317298,1_3_s.bmp
15,2.6477459026884036,12_15_s.bmp
