rank,distance,filename
1,0.0,10_10_s.bmp
2,0.8526747382765456,10_11_s.bmp
3,0.8669607634720141,9_12_s.bmp
4,0.9001984372702827,10_12_s.bmp
5,0.9194983113125047,11_9_s.bmp
6,0.9522688701928926,9_7_s.bmp
7,0.9587950671299164,9_13_s.bmp
8,0.9647605316773865,9_14_s.bmp
9,0.989617259210878,12_26_s.bmp
10,0.9902971074648914,9_5_s.bmp
11,0.9947117022213224,10_23_s.bmp
12,0.9954647705108831,10_21_s.bmp
13,1.0047565347114666,5_8_s.bmp
14,1.007686600441391,11_27_s.bmp
15,1.0093525044689162,10_7_s.bmp
